date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalizedCurrently,inIcuCurrently,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,totalTestResults,totalTestResultsIncrease,totalTestsViral,totalTestsViralIncrease
3/7/2021,IL,23014,20763,12,2251,1141,255,112,1198335,,1068,18640190,68094,18640190,68094
3/6/2021,IL,23002,20750,56,2252,1210,261,108,1197267,,2565,18572096,79248,18572096,79248
3/5/2021,IL,22946,20700,44,2246,1166,263,121,1194702,,1442,18492848,103336,18492848,103336
3/4/2021,IL,22902,20668,49,2234,1200,260,128,1193260,,1740,18389512,73990,18389512,73990
3/3/2021,IL,22853,20626,50,2227,1260,275,138,1191520,,2104,18315522,80854,18315522,80854
3/2/2021,IL,22803,20583,44,2220,1231,281,148,1189416,,1577,18234668,56181,18234668,56181
3/1/2021,IL,22759,20536,24,2223,1288,308,148,1187839,,1143,18178487,42234,18178487,42234
2/28/2021,IL,22735,20516,25,2219,1265,303,150,1186696,,1249,18136253,66500,18136253,66500
2/27/2021,IL,22710,20494,35,2216,1353,312,160,1185447,,1780,18069753,81668,18069753,81668
2/26/2021,IL,22675,20460,68,2215,1393,336,174,1183667,,2441,17988085,92256,17988085,92256
2/25/2021,IL,22607,20406,32,2201,1463,334,168,1181226,,1884,17895829,91292,17895829,91292
2/24/2021,IL,22575,20374,47,2201,1511,338,172,1179342,,2022,17804537,82976,17804537,82976
2/23/2021,IL,22528,20330,22,2198,1488,361,172,1177320,,1665,17721561,61400,17721561,61400
2/22/2021,IL,22506,20303,40,2203,1504,377,169,1175655,,1246,17660161,37361,17660161,37361
2/21/2021,IL,22466,20269,40,2197,1468,356,170,1174409,,1585,17622800,75269,17622800,75269
2/20/2021,IL,22426,20234,58,2192,1551,351,171,1172824,,1922,17547531,73212,17547531,73212
2/19/2021,IL,22368,20192,71,2176,1596,366,190,1170902,,2219,17474319,85963,17474319,85963
